dep,type,idx,name,latitude,longitude
Ain,A,0,Centre pénitentiaire de Bourg-en-Bresse,46.19561525,5.24575686318212
Aisne,A,1,Centre pénitentiaire de Château-Thierry,49.05008215,3.397028143907563
Aisne,A,2,Centre pénitentiaire de Laon,49.5820256,3.638183349456678
Allier,A,3,Centre pénitentiaire de Moulins-Yzeure,46.537681899999995,3.3552877566214594
Bouches-du-Rhône,A,4,Centre pénitentiaire d’Aix-Luynes,43.481159649999995,5.39829480311538
Bouches-du-Rhône,A,5,Centre pénitentiaire de Marseille,43.23248314999999,5.4147393100954275
Calvados,A,6,Centre pénitentiaire de Caen,49.18522565,-0.40278899645997907
Haute-Corse,A,7,Centre pénitentiaire de Borgo,42.5775476,9.445886121584946
Drôme,A,8,Centre pénitentiaire de Valence,44.911139399999996,4.929394074718273
Haute-Garonne,A,9,Centre pénitentiaire de Toulouse-Seysses,43.4891313,1.3256596861606846
Gironde,A,10,Centre pénitentiaire de Bordeaux-Gradignan,44.7831752,-0.5958830816715681
Hérault,A,11,Centre pénitentiaire de Béziers,43.339656500000004,3.1803971140205203
Hérault,A,12,Centre pénitentiaire de Villeneuve-lès-Maguelone,43.546221,3.8264792285453595
Ille-et-Vilaine,A,13,Centre pénitentiaire de Rennes,48.1005113,-1.6741917920901563
Ille-et-Vilaine,A,14,Centre pénitentiaire de Rennes-Vezin-le-Coquet,48.10876575,-1.7368903130181876
Indre,A,15,Centre pénitentiaire de Châteauroux,46.7933552,1.7221461465377266
Isère,A,16,Centre pénitentiaire de Grenoble-Varces,45.099436049999994,5.686251662459265
Isère,A,17,Centre pénitentiaire de Saint-Quentin-Fallavier,45.6583028,5.12521801963557
Landes,A,18,Centre pénitentiaire de Mont-de-Marsan,43.895194000000004,-0.4498092924905801
Loire,A,19,Centre pénitentiaire de Saint-Etienne-La Talaudière,45.472960900000004,4.415608826768538
Loire-Atlantique,A,20,Centre pénitentiaire de Nantes,47.26716765,-1.5059618837965592
Loiret,A,21,Centre pénitentiaire d’Orléans-Saran,47.9650823,1.8727090320257642
Morbihan,A,22,Centre pénitentiaire de Lorient-Ploemeur,47.726339249999995,-3.4156513990699526
Moselle,A,23,Centre pénitentiaire de Metz,49.09891025,6.20926448368301
Nord,A,24,Centre pénitentiaire de Lille-Annœullin,50.5122116,2.939155076782866
Nord,A,25,Centre pénitentiaire de Lille-Loos-Sequedin,50.620497,2.967030033522555
Nord,A,26,Centre pénitentiaire de Maubeuge,50.28869545,4.0031105022405065
Oise,A,27,Centre pénitentiaire de Beauvais,49.409146,2.08186245941282
Oise,A,28,Centre pénitentiaire de Liancourt,49.3326658,2.476362300431382
Orne,A,29,Centre pénitentiaire d’Alençon-Condé-sur-Sarthe,48.43970765,0.010139113372974082
Pas-de-Calais,A,30,Centre pénitentiaire de Longuenesse,50.726293,2.247749496722383
Pas-de-Calais,A,31,Centre pénitentiaire de Vendin-le-Vieil,50.45873215,2.821499058493697
Puy-de-Dôme,A,32,Centre pénitentiaire de Riom,45.88982355,3.151027687988614
Hautes-Pyrénées,A,33,Centre pénitentiaire de Lannemezan,43.11053815,0.37586900639392884
Pyrénées-Orientales,A,34,Centre pénitentiaire de Perpignan,42.67991925,2.8713266137836744
Haut-Rhin,A,35,Centre pénitentiaire de Mulhouse-Lutterbach,47.760515999999996,7.258304967633373
Rhône,A,36,Centre pénitentiaire de Villefranche-sur-Saône,45.99755595,4.724998989055585
Saône-et-Loire,A,37,Centre pénitentiaire de Varennes-le-Grand,46.6987568,4.836895568765476
Savoie,A,38,Centre pénitentiaire d’Aiton,45.565218099999996,6.231702410190571
Paris,A,39,Centre pénitentiaire de Paris-La Santé,48.833882700000004,2.3397439789181727
Seine-Maritime,A,40,Centre pénitentiaire du Havre,49.5178565,0.2833644205684207
Seine-et-Marne,A,41,Centre pénitentiaire du Sud Francilien,48.6022572,2.5914315422660916
Seine-et-Marne,A,42,Centre pénitentiaire de Meaux-Chauconin-Neufmontiers,48.9616353,2.8655815250459993
Yvelines,A,43,Centre pénitentiaire de Bois-d’Arcy,48.806750199999996,2.030337257054531
Var,A,44,Centre pénitentiaire de Toulon-La Farlède,43.15857185,6.056813740287114
Vaucluse,A,45,Centre pénitentiaire d’Avignon-Le Pontet,43.9689913,4.863238544847514
Vienne,A,46,Centre pénitentiaire de Poitiers-Vivonne,46.4134051,0.24128725378547078
Hauts-de-Seine,A,47,Centre pénitentiaire de Nanterre-Hauts-de-Seine,48.906717,2.2046705304022822
Val-de-Marne,A,48,Centre pénitentiaire de Fresnes,48.76361315,2.3218525631887843
Guadeloupe,A,49,Centre pénitentiaire de Baie-Mahault,16.26401955,-61.57247935
Martinique,A,50,Centre pénitentiaire de Ducos,14.5765436,-60.99153995955844
Guyane,A,51,Centre pénitentiaire de Rémire-Montjoly,4.8735315,-52.299281574510346
La Réunion,A,52,Centre pénitentiaire de Saint-Denis,-20.919261149999997,55.50468410818293
Saint-Pierre-et-Miquelon,A,53,Centre pénitentiaire de Saint-Pierre,46.781175,-56.1708112
Mayotte,A,54,Centre pénitentiaire de Majicavo,-12.75066305,45.228176574858345
Polynésie française,A,55,Centre pénitentiaire de Faa’a-Nuutania,-17.55685045,-149.5898852802626
Polynésie française,A,56,Centre pénitentiaire de Taiohae,-8.9137449,-140.0943209
Polynésie française,A,57,Centre pénitentiaire d’Uturoa,-16.729909,-151.4461513414802
Nouvelle-Calédonie,A,58,Centre pénitentiaire de Nouméa,-22.27124375,166.424398113832
Ain,B,59,Quartier maison d’arrêt du centre pénitentiaire de Bourg-en-Bresse,46.19561525,5.24575686318212
Aisne,B,60,Quartier maison d’arrêt du centre pénitentiaire de Laon,49.5820256,3.638183349456678
Allier,B,61,Maison d’arrêt de Montluçon,46.34031685,2.604501752710356
Allier,B,62,Quartier maison d’arrêt du centre pénitentiaire de Moulins-Yzeure,46.537681899999995,3.3552877566214594
Alpes-de-Haute-Provence,B,63,Maison d’arrêt de Digne,44.09187835,6.235408173621553
Hautes-Alpes,B,64,Maison d’arrêt de Gap,44.5600025,6.077651477848101
Alpes-Maritimes,B,65,Maison d’arrêt de Grasse,43.6750845,6.904169998034886
Alpes-Maritimes,B,66,Maison d’arrêt de Nice,43.71202475,7.280359513009377
Ardèche,B,67,Maison d’arrêt de Privas,44.73547245,4.5947536250373116
Ardennes,B,68,Maison d’arrêt de Charleville-Mézières,49.77205,4.72283829340836
Ariège,B,69,Maison d’arrêt de Foix,42.960091000000006,1.6101567198744884
Aube,B,70,Maison d’arrêt de Troyes,48.300411800000006,4.077159513239495
Aude,B,71,Maison d’arrêt de Carcassonne,43.2111077,2.362643040965948
Aveyron,B,72,Maison d’arrêt de Rodez,44.37082755,2.5321561089932807
Bouches-du-Rhône,B,73,Quartier maison d’arrêt du centre pénitentiaire d’Aix-Luynes,43.481159649999995,5.39829480311538
Bouches-du-Rhône,B,74,Quartier maison d’arrêt du centre pénitentiaire de Marseille,43.23248314999999,5.4147393100954275
Calvados,B,75,Quartier maison d’arrêt du centre pénitentiaire de Caen,49.18522565,-0.40278899645997907
Calvados,B,76,Maison d’arrêt de Caen,49.141588999999996,-0.3178259312036614
Cantal,B,77,Maison d’arrêt d’Aurillac,44.92877885,2.4421214056790124
Charente,B,78,Maison d’arrêt d’Angoulême,45.6503802,0.1667705960055867
Charente-Maritime,B,79,Maison d’arrêt de Rochefort,45.9414955,-0.9612876999141415
Charente-Maritime,B,80,Maison d’arrêt de Saintes,45.74605805,-0.6255010464203925
Cher,B,81,Maison d’arrêt de Bourges,47.095336599999996,2.398747008417949
Corrèze,B,82,Maison d’arrêt de Tulle,45.2753884,1.7686255928761545
Corse-du-Sud,B,83,Maison d’arrêt d’Ajaccio,41.92597155,8.736671631879346
Haute-Corse,B,84,Quartier maison d’arrêt du centre pénitentiaire de Borgo,42.5775476,9.445886121584946
Côte-d’Or,B,85,Maison d’arrêt de Dijon,47.311823000000004,5.050216132251082
Côtes-d’Armor,B,86,Maison d’arrêt de Saint-Brieuc,48.50838495,-2.7500625230344826
Creuse,B,87,Maison d’arrêt de Guéret,46.1701308,1.8723573920232697
Dordogne,B,88,Maison d’arrêt de Périgueux,45.18904595,0.7192182700078034
Doubs,B,89,Maison d’arrêt de Besançon,47.2361458,6.006063451248406
Doubs,B,90,Maison d’arrêt de Montbéliard,47.5142252,6.796376134723095
Drôme,B,91,Quartier maison d’arrêt du centre pénitentiaire de Valence,44.911139399999996,4.929394074718273
Eure,B,92,Maison d’arrêt d’Évreux,49.01530355,1.1671066305424787
Finistère,B,93,Maison d’arrêt de Brest,48.4205171,-4.4755658410688195
Gard,B,94,Maison d’arrêt de Nîmes,43.84315055,4.395665069829824
