idx,code_dep,name,capacity,latitude,longitude
0,2,Gefängnis Affoltern am Albis,65,47.2744054,8.4482317
1,62-1,Zentrum für ausländerrechtliche Administrativhaft,130,47.4431958,8.554049776
2,86,Gefängnis Dielsdorf,55,47.48084405,8.451057406
3,96-1,Justizvollzugsanstalt Pöschwies,399,47.43330045,8.474084802
4,117,Vollzugszentrum Bachtel,94,47.32033135,8.846551873
5,177,Gefängnis Pfäffikon,80,47.3689535,8.789221976
6,230-2,Halbgefangenschaft Winterthur,38,47.49604775,8.73813655
7,230-1,Gefängnis Winterthur,48,47.50450325,8.730586117
8,243,Gefängnis Limmattal,70,47.4073933,8.4032843
9,248,Massnahmenzentrum Uitikon,58,47.3687515,8.4454379
10,261-2,Gefängnis Zürich West,124,47.3818339,8.5199932
11,261-1,Gefängnis Zürich,153,47.3749599,8.52664
12,295,Gefängnis Horgen,51,47.25772885,8.59921918
13,351-1,Regionalgefängnis Bern,126,46.9511922,7.441580574
14,371,Regionalgefängnis Biel,44,47.13636075,7.241665943
15,404,Regionalgefängnis Burgdorf,109,47.065036,7.613601776
16,409,Justizvollzugsanstalt Hindelbank,107,47.03276315,7.542202685
17,414,Justizvollzugsanstalt Thorberg,173,47.00240665,7.564440671
18,495,Justizvollzugsanstalt Witzwil,166,46.9872526,7.059409386
19,700,Prison régionale de Moutier,30,47.28083905,7.372722218
20,942,Regionalgefängnis Thun,87,46.7602823,7.620159536
21,1059,Justizvollzugsanstalt Grosshof,112,47.03519225,8.293820597
22,1127,Justizvollzugsanstalt Wauwilermoos,68,47.17596565,8.005061458
23,1301,Kantonsgefängnis SSB Schwyz,33,47.15667485,8.724350313
24,1407,Gefängnis Sarnen,7,46.8960698,8.2535643
25,1509,Untersuchungs- und Strafgefängnis Stans,24,46.9646019,8.38612325
26,1632,Kantonales Gefängnis Glarus,13,47.042227,9.0669746
27,1704,Justizvollzugsanstalt Bostadel,120,47.17051705,8.63762098
28,1711,Kantonale Strafanstalt Zug,45,47.17327135,8.510593953
29,2196,"Etablissement de détention fribourgeois EDFR - Site Prison centrale et Maison ""Les Falaises""",100,46.80261285,7.16473944
30,2284,Etablissement de détention fribourgeois EDFR - Site Bellechasse,200,46.9744958,7.13707285
31,2516,Justizvollzugsanstalt Solothurn,93,47.22694355,7.61379843
32,2581,Untersuchungsgefängnis Olten,36,47.34388125,7.895033967
33,2601,Untersuchungsgefängnis Solothurn,52,47.1984838,7.542533854
34,2701-2,Untersuchungsgefängnis Basel-Stadt,125,47.5500263,7.58598623
35,2701-1,Gefängnis Bässlergut,113,47.5783351,7.60468174
36,2701-3,Vollzugszentrum Klosterfiechten,22,47.52337705,7.596033984
37,2763,Gefängnis Arlesheim,25,47.52337705,7.596033984
38,2770,Gefängnis Muttenz,47,47.53406835,7.646171465
39,2829,Gefängnis Liestal,32,47.4864725,7.7309417
40,2891,Arxhof Massnahmenzentrum für junge Erwachsene,46,47.42218695,7.734236277
41,2939,Kantonales Gefängnis Schaffhausen,43,47.69475605,8.634863429
42,3024-1,Strafanstalt Gmünden,62,47.3866326,9.351620067
43,3024-2,Kantonales Gefängnis Appenzell AR,12,47.3862502,9.351439559
44,3101,Gefängnis Appenzell,5,47.3862502,9.351439559
45,3203-2,Kantonales Untersuchungsgefängnis Klosterhof,20,47.4235833,9.3789044
46,3203-1,Gefängnis St. Gallen,24,47.4252624,9.3753087
47,3251,Regionalgefängnis Altstätten,45,47.3578398,9.553458865
48,3274,Kantonale Strafanstalt Saxerriet,135,47.2260176,9.481865098
49,3292,Gefängnis Flums,10,47.0890265,9.3416083
50,3394,Massnahmenzentrum Bitzi,55,47.36621845,9.058070936
51,3443,Gefängnis Gossau,9,47.4150299,9.247002
52,3661-2,Justizvollzugsanstalt Cazis Tignez,152,46.73708845,9.426643019
53,3661-1,Justizvollzugsanstalt Realta,118,46.7337674,9.426151085
54,4001,Bezirksgefängnis Aarau,23,47.393532,8.046628
55,4021,Bezirksgefängnis Baden,25,47.4710944,8.3066269
56,4146,Bezirksgefängnis Kulm,23,47.3102255,8.1139432
57,4201-2,Justizvollzugsanstalt Lenzburg Zentralgefängnis,164,47.37596995,8.17582125
58,4201-1,Justizvollzugsanstalt Lenzburg Strafanstalt,199,47.37937035,8.178187871
59,4289,Bezirksgefängnis Zofingen,37,47.2876963,7.9435423
60,4566-1,Kantonalgefängnis Frauenfeld,56,47.56580705,8.910964994
61,4671,Regionales Untersuchungsgefängnis Kreuzlingen,11,47.6549668,9.1735703
62,4821,Massnahmenzentrum Kalchrain,46,47.61103155,8.8894901
63,5192-1,"Strutture carcerarie cantonali/Carcere Giudiziario ""Farera""",88,46.003516,8.9512756
64,5192-2,"Strutture carcerarie cantonali/Penitenziario Cantonale ""La Stampa""",164,46.04673215,8.976155679
65,5192-3,"Strutture carcerarie cantonali/Penitenziario Cantonale ""Lo Stampino""",46,46.0427365,8.974758616
66,5586-1,Prison du Bois-Mermet,100,46.5365262,6.626442096
67,5586-2,Etablissement du Simplon,40,46.5162715,6.627618133
68,5638,Prison de La Tuilière,82,46.519788,6.514535038
69,5757-2,Prison de la Croisée,211,46.7352982,6.565356516
70,5757-1,Etablissements de la Plaine de l'Orbe,333,46.7347739,6.552952855
71,5805,"Etablissement de détention pour mineurs et jeunes adultes ""Aux Léchaires""",36,46.54471865,6.832975119
72,6002,Untersuchungsgefängnis Brig,20,47.1984838,7.542533854
73,6248-1,Centre éducatif fermé de Pramont,33,46.26769515,7.483839338
74,6248-2,Etablissement pénitentiaire de Crêtelongue,65,46.26313235,7.482800306
75,6266,Prison de Sion,144,46.21718325,7.339278512
76,6417,Etablissement d'exécution des peines Bellevue,65,46.90129175,6.777115651
77,6421,Etablissement de détention La Promenade,109,47.10029205,6.833275679
78,6455,Justizvollzugsanstalt St. Johannsen,80,47.0452806,7.069455245
79,6621,Établissement ouvert avec section fermée de Villars,19,46.2106049,6.120052907
80,6636-3,Etablissement de Favra,20,46.21446485,6.226061538
81,6636-5,"Etablissement fermé ""Curabilis""",92,46.2142097,6.2224604
82,6636-1,Prison de Champ-Dollon,398,46.2150589,6.2241795
83,6636-2,"Etablissement de détention de ""La Brenaz""",168,46.2161589,6.2259696
84,6642,Établissement ouvert Le Vallon,24,46.2175631,6.196955297
85,6643,Etablissement concordataire de détention administrative de Frambois,20,46.216317,6.06283236
86,6711,Prison de Delémont,14,47.3668146,7.3438278
87,6800-1,"Prison de Porrentruy, L'Orangerie",13,47.4195211,7.0728074
88,6800-2,Prison de Porrentruy,18,47.4195211,7.0728074
