Name,Nicknames,Age,Born Date,Born Location,Died Date,Died Location,Conviction,Criminal Penalty,Date Apprehended
Luis Garavito,"The Beast, Goofy, Conflict, Bonifacio Morera Lizcano",66.0,1957-01-25,"Gnova, Quindo, Colombia",2023-10-12,"Valledupar, Colombia",,,1999-04-22
Pedro López,The Monster of the Andes,,1948-10-08,"Venadillo, Colombia",,,"Vehicle Theft, Murder, Rape","7 years imprisonment in Colombia, extended to 9 due to in-prison homicide (1969 to 1978), 16 years imprisonment in Ecuador, released after 14 years (1980 to 1994), committed to mental hospital in Colombia (1994 to 1998)",1980-03-09
Javed Iqbal,Kukri,,,"Lahore, Punjab, Pakistan",,"Lahore, Punjab, Pakistan","Child Se Abuse, Murder",death,1999-12-30
Mikhail Popkov,"The Werewolf, The Angarsk Maniac, The Wednesday Murderer",,1964-03-07,"Norilsk, Krasnoyarsk Krai, Russian SFSR, USSR",,,Aggravated Murder Attempted Aggravated Murder,life imprisonment,2012-06-23
Daniel Camargo Barbosa,"The Sadist of El Charquito, The Monster of the Mangroves, Manuel Bulgarin Solis",64.0,1930-01-22,"Anolaima, Cundinamarca, Colombia",1994-11-13,"Guayaquil, Ecuador",,"25 years imprisonment, 16 years imprisonment",1974-05-03
Pedro Rodrigues Filho,"Killer Petey, Pedrinho Matador",68.0,1954-10-29,"Santa Rita do Sapuca, Minas Gerais, Brazil",2023-03-05,"Mogi das Cruzes, So Paulo, Brazil",,"30 years imprisonment (1973 to 2007), 8 years imprisonment (7 served on good behavior, 2011 to 2018)",
Kampatimar Shankariya,,,,"Jaipur, Rajasthan, India",,"Jaipur, Rajasthan, India",Murder,death,1978-01-01
Hoshang Amini,"The Ghost of the Qanat Wells, The Felt Hat Killer",,,"Varamin, Tehran Province, Iran",,"Toopkhaneh, Tehran, Tehran Province, Iran",Murder,death,1962-01-01
Yang Xinhai,The Monster Killer,,,"Zhengyang County, Zhumadian, Henan, China",2004-02-14,"Luohe, Henan, China",Murder Rape,death,2003-11-03
Abul Djabar,,,,Abul DjabarAfghanistan,,Kabul Province,Murder,death,1970-10-01
Samuel Little,"Samuel Mc, Dowell, The Choke--Stroke Killer, Mr. Sam",80.0,1940-06-07,,2020-12-30,,Murder,Four life sentence(s) without the possibility of parole,2012-09-05
William Unek,William Uneko,,,Protectorate of Uganda,,"Mwanza, Tanganyika Territory",,,
Mohammed Bijeh,,,,"e Heydarieh, Razavi Khorasan province, Iran",2005-03-16,"Pakdasht, Iran",Murder,death,
