,Offenses,All races,White,Black,American Indian,Asian
0,All offenses,10085210,7014550,2667010,244200,159450
1,Murder and nonnegligent manslaughter,11060,5070,5660,170,150
3,Robbery,74550,33290,39290,840,1130
4,Aggravated assault,385280,237960,128020,10100,9200
5,Burglary,171590,117080,49380,2500,2630
6,Larceny-theft,813070,539390,245540,16070,12070
7,Motor vehicle theft,80640,54500,23110,1710,1320
8,Arson,9070,6420,2240,170,240
9,Simple assault,1025710,664630,319920,23380,17780
10,Forgery and counterfeiting,45180,30310,13610,480,780
11,Fraud,112710,74270,34440,2040,1960
12,Embezzlement,13500,8170,4900,160,280
13,Stolen property (buying receiving possessing),88270,54250,30820,1550,1650
14,Vandalism,180500,123560,49600,4570,2760
15,Weapons (carrying possessing etc.),153160,85120,64070,1590,2380
16,Prostitution and commercialized vice,26710,13580,11290,100,1740
18,Drug abuse violations,1558860,1109600,406940,20890,21420
19,Gambling,2460,1400,720,20,320
20,Offenses against the family and children,85690,56390,24290,4170,840
21,Driving under the influence,1024510,834890,144000,19610,26010
22,Liquor laws,175550,136360,27270,9040,2880
23,Drunkenness,316030,238800,46740,26430,4060
24,Disorderly conduct,310330,197280,95270,14590,3200
25,Vagrancy,21900,14770,6170,650,300
26,All other offenses (except traffic),3318450,2319930,874280,81790,42460
27,Curfew and loitering,14650,9640,4380,380,260
29,Property Crime Index,1074370,717390,320270,20450,16260
30,Violent crimes*,470890,276310,172980,11110,10480
