Reference Area,All Crimes,All Group 1: Non-sexual crimes of violence,All Group 2: Sexual crimes,All Group 3: Crimes of dishonesty,All Group 4: Damage and reckless behaviour,All Group 5: Crimes against society,All Group 6: Antisocial offences,All Group 7: Miscellaneous offences,All Group 8: Road traffic offences,All Offences,Crimes: Coronavirus Restrictions,Crimes: Group 1: Common assault,Crimes: Group 1: Death by dangerous driving,Crimes: Group 1: Domestic Abuse (Scotland) Act 2018,Crimes: Group 1: Murder and culpable homicide,Crimes: Group 1: Other non-sexual violence,Crimes: Group 1: Robbery,Crimes: Group 1: Serious assault and attempted murder,Crimes: Group 2: Causing to view sexual activity or images,Crimes: Group 2: Communicating indecently,Crimes: Group 2: Crimes associated with prostitution,Crimes: Group 2: Indecent photos of children,Crimes: Group 2: Other sexual crimes,Crimes: Group 2: Rape & attempted rape,Crimes: Group 2: Sexual assault,Crimes: Group 2: Threatening to or disclosing intimate images,Crimes: Group 3: Fraud,Crimes: Group 3: Housebreaking,Crimes: Group 3: Other dishonesty,Crimes: Group 3: Other theft,Crimes: Group 3: Shoplifting,Crimes: Group 3: Theft by opening lockfast places,Crimes: Group 3: Theft from a motor vehicle,Crimes: Group 3: Theft of a motor vehicle,Crimes: Group 4: Fire-raising,Crimes: Group 4: Reckless conduct,Crimes: Group 4: Vandalism,Crimes: Group 5: Crimes against public justice,Crimes: Group 5: Drugs - Possession,Crimes: Group 5: Drugs - Supply,Crimes: Group 5: Other crimes against society,Crimes: Group 5: Weapons possession (not used),Crimes: Group 5: Weapons possession (used),Offences: Group 6: Drunkenness and other disorderly conduct,Offences: Group 6: Racially aggravated conduct,Offences: Group 6: Threatening and abusive behaviour,Offences: Group 6: Urinating etc.,Offences: Group 7: Community and public order offences,Offences: Group 7: Environmental offences,Offences: Group 7: Licensing offences,Offences: Group 7: Other misc. offences,Offences: Group 7: Wildlife offences,Offences: Group 8: Dangerous and careless driving,Offences: Group 8: Driving under the influence,Offences: Group 8: Mobile phone offences,Offences: Group 8: Other road traffic offences,Offences: Group 8: Seat belt offences,Offences: Group 8: Speeding,Offences: Group 8: Unlawful use of vehicle,Offences: Group 8: Vehicle defect offences,
Scotland,289362,68870,14602,103393,43123,59374,50094,12793,109320,172207,0,57708,50,1781,48,4184,1623,3476,2082,1518,62,765,1559,2529,5282,805,16879,8796,3475,37084,28619,1297,2061,5182,2713,3206,37204,22967,22356,4087,237,4064,5663,3849,1468,43644,1133,9137,436,805,1045,1370,12614,7815,2958,24302,1930,17767,36243,5691,
Aberdeen City,14811,3608,731,5449,1983,3040,1986,540,4162,6688,0,2951,0,116,4,205,114,218,104,64,21,45,88,98,267,44,930,347,152,1877,1786,57,59,241,130,116,1737,1072,1291,339,9,134,195,134,78,1597,177,409,21,35,6,69,599,350,105,1102,85,375,1272,274,
Aberdeenshire,8048,2072,625,2447,1188,1716,980,570,5719,7269,0,1673,5,108,1,147,39,99,91,61,0,49,100,93,192,39,651,168,64,753,647,41,24,99,58,41,1089,540,828,170,7,83,88,11,22,892,55,333,18,46,117,56,658,300,122,707,50,1975,1375,532,
Angus,4635,1270,382,1645,693,645,589,222,1788,2599,0,1048,1,57,1,85,20,58,50,39,0,30,35,66,138,24,263,160,51,615,415,37,27,77,46,34,613,309,152,32,1,40,111,5,17,559,8,176,3,15,1,27,143,84,22,363,33,563,528,52,
Argyll and Bute,3186,866,217,759,501,843,804,198,2319,3321,0,706,2,34,1,66,7,50,28,11,0,15,23,45,89,6,175,68,21,279,177,17,5,17,17,26,458,311,401,41,2,57,31,48,14,727,15,122,9,28,1,38,383,203,45,330,30,595,634,99,
City of Edinburgh,32176,6939,1211,14623,4461,4942,3957,969,9091,14017,0,5810,0,130,6,476,220,297,166,82,2,58,84,233,532,54,1988,1449,405,5662,3557,213,525,824,263,560,3638,1772,1869,407,16,427,451,55,222,3572,108,699,70,79,33,88,1017,499,354,2762,178,398,3472,411,
Clackmannanshire,2697,696,120,894,437,550,442,216,763,1421,0,570,0,23,2,35,22,44,13,8,0,6,17,26,42,8,168,67,19,264,334,10,7,25,21,29,387,175,197,52,1,47,78,12,21,408,1,120,1,7,79,9,63,50,7,161,12,63,337,70,Offences: Group 8: Vehicle defect offences
Dumfries and Galloway,7721,1804,469,2114,1285,2049,1913,462,6165,8540,0,1512,1,65,1,151,20,54,61,51,0,21,61,75,178,22,440,194,73,649,605,40,38,75,78,70,1137,704,992,144,6,112,91,74,26,1764,49,294,12,55,49,52,773,314,203,356,77,1892,2047,503,5691
Dundee City,12547,2853,519,5383,1730,2062,1497,363,2619,4479,0,2283,0,91,0,158,154,167,77,58,2,18,44,108,189,23,751,434,195,1851,1668,49,120,315,116,112,1502,862,574,176,10,131,309,14,54,1408,21,303,9,21,3,27,291,196,78,893,31,249,790,91,274
East Ayrshire,6183,1524,258,1930,1085,1386,1217,295,2256,3768,0,1328,1,35,1,70,33,56,38,33,1,14,21,49,89,13,269,170,92,600,657,20,45,77,62,81,942,537,527,108,12,121,81,57,28,1122,10,213,8,23,19,32,292,198,49,450,35,340,810,82,532
East Dunbartonshire,2771,548,135,1142,393,553,391,172,808,1371,0,447,1,13,0,39,11,37,17,25,0,13,15,17,41,7,219,113,46,312,340,17,18,77,26,17,350,179,225,28,1,51,69,17,6,364,4,90,2,0,71,9,117,63,9,277,5,39,283,15,52
East Lothian,4595,1138,212,1667,790,788,604,192,1358,2154,0,996,0,23,0,68,12,39,21,25,0,10,23,39,80,14,300,228,63,623,291,31,29,102,45,54,691,314,336,50,1,57,30,15,13,560,16,150,1,16,3,22,184,111,44,383,21,64,482,69,99
East Renfrewshire,2303,456,111,965,413,358,398,121,865,1384,0,369,0,17,0,39,10,21,20,9,0,2,14,17,44,5,210,129,54,289,204,6,19,54,33,27,353,136,125,18,4,21,54,18,14,363,3,96,5,3,1,16,134,70,36,261,12,42,289,21,411
Falkirk,7813,1969,351,2607,1430,1456,1338,487,2611,4436,0,1653,3,55,2,134,52,70,53,24,1,22,33,72,125,21,471,231,53,871,779,60,20,122,69,106,1255,576,446,118,10,117,189,18,46,1256,18,301,11,19,124,32,219,225,35,659,29,496,812,136,70
Fife,20554,5223,1418,8030,3126,2757,3356,945,6417,10718,0,4397,0,156,1,350,107,212,218,138,2,73,182,242,485,78,1205,638,223,2457,2900,95,138,374,185,147,2794,1480,683,175,17,163,239,71,137,3121,27,755,11,49,7,123,594,433,286,1547,218,1077,1942,320,503
Glasgow City,50128,11767,2034,17971,6160,12196,10597,1811,16906,29314,0,10035,10,184,7,570,288,673,344,266,27,65,198,309,740,85,2937,1223,559,7647,4018,163,514,910,449,730,4981,4392,4563,763,62,830,1586,1902,380,8035,280,1350,51,105,173,132,2048,942,504,4238,272,2107,5966,829,91
Highland,10094,2536,744,2982,1573,2259,1540,441,7286,9267,0,2116,5,84,1,168,31,131,108,75,1,53,86,144,248,29,598,259,69,1043,848,45,20,100,70,43,1460,826,1033,128,2,144,126,65,27,1415,33,264,29,67,9,72,876,574,233,898,102,1781,2297,525,82
Inverclyde,4238,791,136,1326,633,1352,610,116,920,1646,0,633,1,10,1,35,45,66,11,19,0,7,10,26,53,10,153,145,31,415,497,9,11,65,71,29,533,651,440,99,0,70,92,16,13,577,4,82,5,3,16,10,103,125,15,239,11,41,333,53,15
Midlothian,4455,1088,212,1730,783,642,624,271,1531,2426,0,911,0,32,0,78,20,47,24,30,0,10,12,38,76,22,267,201,54,530,522,32,25,99,51,62,670,275,226,41,0,63,37,15,14,582,13,212,9,14,1,35,206,142,63,481,50,75,461,53,69
Moray,3957,1209,322,954,614,858,561,216,1551,2328,0,1007,1,41,1,87,14,58,33,22,0,23,30,59,137,18,231,122,22,303,176,22,8,70,44,24,546,347,353,72,6,37,43,14,18,512,17,144,7,27,0,38,167,157,43,384,13,134,527,126,21
Na h-Eileanan Siar,820,240,57,156,109,258,114,43,454,611,0,213,0,7,0,6,1,13,4,5,0,6,7,16,17,2,37,4,2,53,51,2,0,7,7,3,99,94,144,3,0,7,10,8,1,99,6,25,3,4,0,11,70,35,12,42,11,74,203,7,136
North Ayrshire,6852,1691,312,2294,1146,1409,1355,281,2684,4320,0,1459,1,45,0,73,39,74,56,39,0,12,16,74,97,18,284,187,111,718,853,22,31,88,50,73,1023,658,429,71,9,126,116,56,22,1273,4,234,11,7,1,28,300,220,51,616,36,523,819,119,320
North Lanarkshire,18751,4056,966,5790,3188,4751,4163,769,6977,11909,0,3495,2,80,7,195,83,194,115,105,1,65,129,159,319,73,903,561,313,1986,1528,62,75,362,222,238,2728,1750,1968,216,8,325,484,651,62,3402,48,574,29,27,44,95,758,820,109,1440,154,1042,2469,185,829
Orkney Islands,514,135,90,112,80,97,68,31,608,707,0,96,0,9,1,23,1,5,14,7,0,3,17,15,29,5,30,5,4,37,30,1,0,5,10,4,66,27,64,2,0,2,2,2,0,51,15,14,3,7,0,7,44,23,10,78,24,152,222,55,525
Perth and Kinross,5904,1570,396,2106,800,1032,782,511,3667,4960,0,1251,1,53,0,145,40,80,47,40,1,16,52,60,153,27,367,217,73,791,526,28,29,75,26,37,737,475,261,72,3,70,151,15,32,716,19,233,10,25,207,36,322,156,111,557,109,1080,1084,248,53
Renfrewshire,9146,1945,444,3301,1336,2120,1617,392,3360,5369,0,1638,0,40,1,98,45,123,62,67,0,14,31,66,172,32,539,191,152,1372,826,38,33,150,110,81,1145,835,822,149,7,133,174,175,37,1378,27,302,44,14,3,29,310,223,122,837,54,533,1102,179,53
Scottish Borders,4562,1308,253,1350,759,892,891,289,1772,2952,0,1110,3,34,1,83,23,54,28,21,0,19,24,52,93,16,288,166,38,459,289,29,23,58,54,41,664,339,401,68,12,38,34,16,10,819,46,202,9,20,1,57,243,114,33,761,24,65,502,30,126
Shetland Islands,637,182,57,125,78,195,118,26,391,535,0,153,1,1,0,17,0,10,7,3,0,8,6,4,25,4,46,8,4,42,18,2,0,5,3,5,70,49,129,13,1,1,2,9,1,95,13,16,2,7,0,1,51,28,11,58,4,80,120,39,7
South Ayrshire,5418,1313,219,2053,798,1035,1111,225,1965,3301,0,1145,0,32,1,54,28,53,43,21,0,9,16,33,82,15,242,170,68,542,931,11,18,71,15,37,746,450,397,40,3,68,77,31,18,1045,17,164,11,14,1,35,257,175,34,439,15,244,724,77,119
South Lanarkshire,15769,3427,754,5396,2581,3611,3235,720,4711,8666,0,2836,5,71,4,221,72,218,107,100,3,38,102,128,224,52,891,388,292,1586,1726,64,108,341,153,152,2276,1420,1179,266,10,270,466,223,57,2924,31,601,12,22,3,82,653,452,77,1258,39,456,1699,77,185
Stirling,3680,907,192,1331,561,689,678,174,1743,2595,0,730,1,29,1,90,20,36,14,21,0,6,26,28,90,7,284,124,32,574,226,24,17,50,32,31,498,248,278,45,1,46,71,12,16,634,16,124,11,10,1,28,180,100,23,476,14,292,542,116,55
West Dunbartonshire,5180,1221,211,1488,874,1386,1182,223,3070,4475,0,1022,3,23,1,76,22,74,30,21,0,16,17,39,81,7,251,146,53,518,440,14,19,47,66,80,728,491,617,82,15,127,54,77,22,1069,14,177,4,7,0,35,248,215,53,444,132,795,974,209,248
West Lothian,9217,2518,444,3273,1535,1447,1376,502,2783,4661,0,2115,2,83,1,142,30,145,78,28,0,19,40,99,155,25,491,283,87,1366,754,36,56,200,131,116,1288,673,406,99,1,146,122,13,40,1305,18,358,5,29,71,39,311,218,59,805,50,125,1126,89,179
