Type of crime,Region,Year,The number of crimes,The number of crimes (cases per 100.000 population)
Murder,Russian Federation,2008,19740,13.8
Murder,Belgorod Oblast,2008,98,6.4
Murder,Bryansk Oblast,2008,155,11.9
Murder,Vladimir Oblast,2008,176,12.0
Murder,Voronezh Oblast,2008,177,7.5
Murder,Ivanovo Oblast,2008,154,14.2
Murder,Kaluga Oblast,2008,135,13.3
Murder,Kostroma Oblast,2008,104,15.2
Murder,Kursk Oblast,2008,104,9.0
Murder,Lipetsk Oblast,2008,116,9.8
Murder,Moscow Oblast,2008,1011,14.7
Murder,Oryol Oblast,2008,97,12.0
Murder,Ryazan Oblast,2008,94,8.0
Murder,Smolensk Oblast,2008,116,11.5
Murder,Tambov Oblast,2008,96,8.6
Murder,Tver Oblast,2008,218,15.7
Murder,Tula Oblast,2008,202,12.7
Murder,Yaroslavl Oblast,2008,179,13.8
Murder,Moscow,2008,981,8.8
Murder,Republic of Karelia,2008,97,14.7
Murder,Komi Republic,2008,171,18.3
Murder,Arkhangelsk Oblast,2008,199,16.4
Murder,Nenets Autonomous Okrug,2008,17,40.6
Murder,Vologda Oblast,2008,155,12.7
Murder,Kaliningrad Oblast,2008,101,10.8
Murder,Leningrad Oblast,2008,312,18.4
Murder,Murmansk Oblast,2008,80,9.8
Murder,Novgorod Oblast,2008,106,16.3
Murder,Pskov Oblast,2008,98,14.0
Murder,Saint Petersburg,2008,645,13.5
Murder,Republic of Dagestan,2008,169,6.1
Murder,Republic of Ingushetia,2008,80,19.7
Murder,Kabardino-Balkar Republic,2008,68,7.9
Murder,Karachay-Cherkess Republic,2008,43,9.2
Murder,Republic of North Ossetia-Alania,2008,77,10.8
Murder,Chechen Republic,2008,107,8.9
Murder,Stavropol Krai,2008,233,8.4
Murder,Republic of Adygea,2008,43,9.8
Murder,Republic of Kalmykia,2008,35,12.0
Murder,Republic of Crimea,2008,NaN,NaN
Murder,Krasnodar Krai,2008,382,7.4
Murder,Astrakhan Oblast,2008,118,11.7
Murder,Volgograd Oblast,2008,278,10.6
Murder,Rostov Oblast,2008,348,8.1
Murder,Sevastopol,2008,NaN,NaN
Murder,Republic of Bashkortostan,2008,420,10.4
Murder,Mari El Republic,2008,131,18.6
Murder,Republic of Mordovia,2008,65,7.6
Murder,Republic of Tatarstan,2008,321,8.5
Murder,Udmurt Republic,2008,216,14.1
Murder,Chuvash Republic,2008,124,9.8
Murder,Perm Krai,2008,529,19.8
Murder,Kirov Oblast,2008,151,10.9
Murder,Nizhny Novgorod Oblast,2008,398,11.8
Murder,Orenburg Oblast,2008,351,17.1
Murder,Penza Oblast,2008,94,6.7
Murder,Samara Oblast,2008,436,13.5
Murder,Saratov Oblast,2008,245,9.6
Murder,Ulyanovsk Oblast,2008,187,14.2
Murder,Kurgan Oblast,2008,221,23.6
Murder,Sverdlovsk Oblast,2008,738,17.1
Murder,Tyumen Oblast,2008,230,17.5
Murder,Khanty–Mansi Autonomous Okrug – Yugra,2008,191,12.8
Murder,Yamalo-Nenets Autonomous Okrug,2008,83,15.8
Murder,Chelyabinsk Oblast,2008,552,15.8
Murder,Altai Republic,2008,56,27.6
Murder,Republic of Buryatia,2008,294,30.5
Murder,Tuva Republic,2008,196,64.5
Murder,Republic of Khakassia,2008,103,19.4
