Name,Country,Start year,End year,Proven victims,Possible victims,Notes
Luis Garavito,"Colombia, Ecuador, Venezuela",1992.0,1999.0,193.0,247.0,"Child-murderer, torture-killer, and rapist known as ""La Bestia"" (""The Beast""). Garavito confessed to killing 140 boys between six and sixteen years old, from October 1992 to April 1999 in Colombia and neighboring countries. He is suspected of murdering over 300 victims, mostly street children. Garavito was originally sentenced to 1,853 years in prison, but this was later reduced to 22 years, after he led police to many of the bodies of his victims. He was scheduled to become eligible for parole in 2023. He died on October 12, 2023."
Pedro López,"Colombia, Peru, Ecuador",1969.0,1980.0,110.0,300.0,"Child-murderer and rapist, known as ""The Monster of the Andes"". López targeted young girls, between the ages of eight and twelve. Arrested in 1980 and convicted in 1983 of killing three young girls, but claimed to have killed hundreds. Despite being believed to be one of the most prolific serial killers of the twentieth century, he was released in the late 1990s."
Javed Iqbal,Pakistan,1998.0,1999.0,100.0,100.0,"Child-murderer and rapist, known as ""Kukri"", Iqbal murdered 100 street children by strangling them and covering up his crimes by dissolving the bodies with acid. He was arrested in December 1999 after sending a letter to a newspaper, and was set to be executed in the manner described by the judge, who stated, ""You will be strangled to death in front of the parents whose children you killed"" and, ""Your body will then be cut into 100 pieces and put in acid, the same way you killed the children."" However, he died in custody before he could be executed."
Mikhail Popkov,Russia,1992.0,2010.0,83.0,86.0,"Serial rapist-killer nicknamed ""The Werewolf"", who was active for two decades in Angarsk, Irkutsk and Vladivostok. After being convicted of 22 murders in 2015, he confessed to an additional 59 murders, of which he was convicted of 56 in 2018. In July 2020, Popkov confessed to more killings, bringing the total number of admitted victims to 83. He was convicted of additional two killings in 2021 and another three in 2023. He was sentenced to life."
Daniel Camargo Barbosa,"Colombia, Ecuador, Brazil",1974.0,1986.0,72.0,180.0,"Child and woman murderer, believed to have possibly raped and killed over 150 victims, primarily targeting female children, as they were more likely to be virgins. Confessed to killing 72 victims. He strangled young girls in Colombia and was arrested, but he escaped from prison, and started killing in Ecuador. He was rearrested in 1986, and was allegedly incarcerated in the same Ecuadorian prison as 300+ serial killer Pedro López.[citation needed] Camargo was killed in jail by the nephew of one of his victims."
Pedro Rodrigues Filho,Brazil,1967.0,2003.0,71.0,100.0,"Rodrigues Filho claimed to have killed over 100 victims, 47 of them inmates. He also killed his father (who had killed his mother) and ate a piece of his heart. He killed his first two victims at the age of 14. He was first arrested in 1973; he was convicted and sentenced to 128 years, but the maximum one can serve in Brazil is 30 years. He was released in 2018. He was murdered by two men in 2023."
Kampatimar Shankariya,India,1977.0,1978.0,70.0,70.0,"Shankariya was an Indian serial killer who used a hammer to kill over 70 men and women between 1978 and 1979. He was hanged in 1979; his last words were, ""I have murdered in vain"", he declared. ""Nobody should become like me."""
Hoshang Amini,Iran,1954.0,1962.0,67.0,67.0,"Known as the ""Ghost of the Qanat Wells"". Murdered 67 people in the city of Varamin from 1954 to 1962, sometimes aided by accomplices. He earned his nickname by decapitating his victims post-mortem and then dumping their bodies into wells."
Yang Xinhai,China,1999.0,2003.0,67.0,67.0,"Known as the ""Monster Killer"". Yang would enter victims' homes at night and kill using axes, meat cleavers, hammers, and shovels. He was executed by gunshot in 2004."
Abul Djabar,Afghanistan,,1970.0,65.0,300.0,"Killed 65 men and boys by strangling them with turbans while raping them. Suspected of over 300 murders. Sentenced to death and hanged on October 21, 1970."
