Country / Territory,Region,Region Name,CPI score 2022,Rank 2022,Sources 2022,Standard error 2022,CPI score 2021,Rank 2021,Sources 2021,Standard error 2021,CPI score 2020,Rank 2020,Sources 2020,Standard error 2020,CPI score 2019,Rank 2019,Sources 2019,Standard error 2019,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
Denmark,WE/EU,European Union,90,1,8,1.709309,88,1,8,1.850507,88,1,8,1.775809,87,1,8,2.542474,88,1,8,2.63,88,2,8,2.75,90,7,2.46,91,7,2.16,92,7,2.04,91,7,2.2,90,7,2
Finland,WE/EU,European Union,87,2,8,1.193896,88,1,8,1.24828,85,3,8,1.748594,86,3,8,2.924511,85,3,8,2.74,85,3,8,2.84,89,7,1.46,90,7,1.77,89,7,2.05,89,7,1.7,90,7,3
New Zealand,AP,Asia Pacific,87,2,8,1.405203,88,1,8,1.427644,88,1,8,1.479342,87,1,8,2.28649,87,2,8,2.44,89,1,8,2.4,90,7,2.56,91,7,2.32,91,7,2.28,91,7,2.3,90,7,2.2
Norway,WE/EU,European Union,84,4,7,1.168785,85,4,7,1.072085,84,7,7,1.257705,84,7,7,1.646693,84,7,8,2.14,85,3,8,1.83,85,7,1.85,88,7,2.24,86,7,2.38,86,7,2.3,85,7,1.6
Singapore,AP,Asia Pacific,83,5,8,1.298433,85,4,9,1.159654,85,3,9,1.203239,85,4,9,2.0484,85,3,9,1.98,84,6,9,2.26,84,8,2.35,85,8,2.02,84,8,1.75,86,9,2.3,87,9,2.1
Sweden,WE/EU,European Union,83,5,8,2.204067,85,4,8,1.239412,85,3,8,1.303953,85,4,8,1.977693,85,3,8,2.02,84,6,8,2.27,88,7,1.33,89,7,1.71,87,7,3.41,89,7,2.3,88,7,1.9
Switzerland,WE/EU,European Union,82,7,7,1.846128,84,7,7,1.105019,85,3,7,1.096633,85,4,7,1.580087,85,3,7,1.57,85,3,7,1.71,86,6,1.57,86,6,2.55,86,6,2.61,85,6,2.5,86,6,2.6
Netherlands,WE/EU,European Union,80,8,8,2.009142,82,8,8,1.361967,82,8,8,1.438214,82,8,8,2.247029,82,8,8,2.3,82,8,8,2.23,83,7,2.32,84,7,1.98,83,7,1.97,83,7,2,84,7,2
Germany,WE/EU,European Union,79,9,8,2.16827,80,10,8,1.763459,80,9,8,1.999585,80,9,8,3.30976,80,11,8,2.49,81,12,8,1.87,81,7,2.73,81,7,2.5,79,7,2.58,78,8,2.4,79,8,2.3
Ireland,WE/EU,European Union,77,10,8,0.7929971,74,13,8,0.6804043,72,20,7,2.152309,74,18,7,3.610982,73,18,7,3.25,74,19,7,3.68,73,6,4.31,75,6,4.92,74,6,4.75,72,6,4.2,69,6,3.5
Luxembourg,WE/EU,European Union,77,10,8,1.083765,81,9,8,0.9624774,80,9,7,1.503167,80,9,7,1.954564,81,9,7,2.32,82,8,6,2.08,81,6,1.96,85,5,1.6,82,6,2.78,80,6,2.9,80,6,2.8
Hong Kong,AP,Asia Pacific,76,12,8,1.613287,76,12,8,1.846345,77,11,8,1.794969,76,16,8,3.152059,76,14,8,2.47,77,13,7,2.37,77,7,2.62,75,7,2.48,74,7,2.75,75,8,2.4,77,8,1.9
Australia,AP,Asia Pacific,75,13,9,0.7788845,73,18,9,1.626727,77,11,9,1.046566,77,12,9,1.317929,77,13,9,1.27,77,13,9,1.4,79,8,1.27,79,8,1.5,80,8,1.31,81,8,1.5,85,8,1.1
Canada,AME,"North, Central, and South America",74,14,8,2.123417,74,13,8,2.299962,77,11,8,1.771133,77,12,8,2.796791,81,9,8,2.16,82,8,8,1.49,82,7,2.03,83,7,1.63,81,7,2.45,81,7,2.4,84,7,2.2
Estonia,WE/EU,European Union,74,14,10,1.012676,74,13,10,0.9226964,75,17,10,0.872954,74,18,10,1.209875,73,18,10,1.44,71,21,10,2.21,70,10,2.16,70,9,2.79,69,9,2.89,68,9,2.7,64,8,3
Iceland,WE/EU,European Union,74,14,7,3.831931,74,13,7,3.704399,75,17,7,3.864742,78,11,7,4.627051,76,14,7,4.33,77,13,7,4.38,78,6,3.81,79,5,4.53,79,6,3.16,78,6,2.8,82,6,4.1
Uruguay,AME,"North, Central, and South America",74,14,7,0.6598858,73,18,7,0.6759979,71,21,7,1.723601,71,21,7,2.472212,70,23,7,2.73,70,23,7,2.67,71,6,2.68,74,6,1.68,73,6,1.41,73,6,1.4,72,6,1.5
Belgium,WE/EU,European Union,73,18,8,1.515366,73,18,8,1.435341,76,15,7,1.053756,75,17,7,1.094819,75,17,8,1.09,75,16,8,1.63,77,7,1.55,77,7,1.34,76,7,2.26,75,7,2.3,75,7,2.4
Japan,AP,Asia Pacific,73,18,9,1.856516,73,18,9,2.100073,74,19,9,2.024722,73,20,9,3.510482,73,18,9,2.85,73,20,9,2.66,72,8,3.02,75,8,2.96,76,8,3.16,74,9,2.4,74,9,2.3
United Kingdom,WE/EU,European Union,73,18,8,1.847196,78,11,8,1.428169,77,11,8,2.201047,77,12,8,3.337237,80,11,8,2.03,82,8,8,1.7,81,7,2.12,81,7,2.4,78,7,2.09,76,8,1.3,74,8,1.3
France,WE/EU,European Union,72,21,8,0.644383,71,22,8,1.299853,69,23,8,1.40067,69,23,8,2.280289,72,21,8,1.17,70,23,8,1.36,69,7,2.97,70,7,2.49,69,7,2.17,71,8,2.4,71,8,2.4
Austria,WE/EU,European Union,71,22,8,1.529005,74,13,8,0.8316687,76,15,8,0.6740441,77,12,8,1.568815,76,14,8,1.37,75,16,8,1.17,75,7,1.36,76,7,1.76,72,7,3.49,69,8,3.2,69,8,2.4
Seychelles,SSA,Sub Saharn Africa,70,23,3,1.77507,70,23,3,1.343867,66,27,4,2.974329,66,27,4,3.396858,66,28,4,3.08,60,36,4,8.32,,,,55,3,8.5,55,3,8.62,54,4,8.2,52,4,8
United States of America,AME,"North, Central, and South America",69,24,9,2.110072,67,27,9,2.209513,67,25,9,2.486317,69,23,9,4.115168,71,22,9,3.25,75,16,9,3.24,74,9,3.15,76,8,3.47,74,8,3.74,73,9,4,73,9,4.1
Bhutan,AP,Asia Pacific,68,25,4,2.179297,68,25,4,2.239852,68,24,4,2.387326,68,25,4,2.756646,68,25,4,2.86,67,26,5,1.83,65,5,2.12,65,4,2.14,65,4,1.81,63,4,2.6,63,3,3.6
Taiwan,AP,Asia Pacific,68,25,8,1.655762,68,25,8,1.853412,65,28,8,2.059654,65,28,8,3.034662,63,31,8,3.06,63,29,8,3.28,61,8,3.79,62,7,3.78,61,7,4.17,61,7,4.3,61,7,3.9
United Arab Emirates,MENA,Middle East and North Africa,67,27,7,3.102045,69,24,8,2.904347,71,21,8,3.226185,71,21,8,5.126294,70,23,8,4.56,71,21,7,6.26,66,7,5.7,70,7,5.07,70,7,5.14,69,7,4.7,68,7,4.3
Chile,AME,"North, Central, and South America",67,27,9,1.34103,67,27,9,1.32958,67,25,9,1.225991,67,26,9,2.552611,67,27,9,1.88,67,26,9,2.03,66,8,2.65,70,8,2.15,73,8,1.74,71,9,1.8,72,9,2.1
Barbados,AME,"North, Central, and South America",65,29,4,3.281295,65,29,4,3.065789,64,29,4,5.471437,62,30,4,6.05961,68,25,3,3.12,68,25,3,3.24,61,3,6.91,,,,74,3,8.09,75,3,7.1,76,3,6.7
Bahamas,AME,"North, Central, and South America",64,30,3,5.318037,64,30,3,5.631818,63,30,3,5.801677,64,29,3,5.825616,65,29,3,5.39,65,28,3,5.39,66,3,5.2,,,,71,3,0.99,71,3,1,71,3,1
Israel,MENA,Middle East and North Africa,63,31,7,2.052844,59,36,7,2.054172,60,35,7,1.338424,60,35,7,1.989104,61,34,7,1.49,62,32,7,2.19,64,6,2.27,61,6,2.78,60,6,2.34,61,6,1.6,60,5,2.9
"Korea, South",AP,Asia Pacific,63,31,10,1.031307,62,32,10,1.132928,61,33,10,1.110525,59,39,10,2.438926,57,45,10,2.74,54,51,10,2.24,53,9,2.33,54,9,2.29,55,9,2.64,55,10,2.4,56,10,2.4
Lithuania,WE/EU,European Union,62,33,10,1.14065,61,34,10,1.181192,60,35,9,1.340773,60,35,9,2.319473,59,38,9,2.3,59,38,9,2.21,59,9,1.36,59,8,1.92,58,8,3.85,57,8,3.8,54,7,5.3
Portugal,WE/EU,European Union,62,33,8,1.632702,62,32,8,1.843364,61,33,8,1.727857,62,30,8,2.819093,64,30,8,2.14,63,29,8,2.56,62,8,2.58,64,7,2.5,63,7,3.36,62,7,3,63,7,2.5
Botswana,SSA,Sub Saharn Africa,60,35,8,2.630613,55,45,8,3.191742,60,35,7,2.876193,61,34,7,3.731927,61,34,7,2.76,61,34,7,2.74,60,6,3.1,63,6,2.35,63,6,1.93,64,7,1.6,65,7,1.9
Cabo Verde,SSA,Sub Saharn Africa,60,35,4,4.811593,58,39,4,2.965474,58,41,4,3.722509,58,41,4,4.298384,57,45,4,4.22,55,48,4,4.19,59,3,5.72,55,4,6.16,57,4,5.94,58,4,4.8,60,4,3.8
Saint Vincent and the Grenadines,AME,"North, Central, and South America",60,35,3,4.509137,59,36,3,3.547121,59,40,3,4.019743,59,39,3,4.14181,58,41,3,3.39,58,40,3,3.39,60,3,1.66,,,,62,3,5.59,62,3,5.6,62,3,5.6
Spain,WE/EU,European Union,60,35,8,2.412303,61,34,8,2.280077,62,32,8,2.009488,62,30,8,3.166087,58,41,8,4.33,57,42,8,3.78,58,7,4.09,58,7,4.07,60,7,3.75,59,7,4.9,65,7,2.9
Latvia,WE/EU,European Union,59,39,10,1.361589,59,36,10,1.324134,57,42,9,1.915961,56,44,9,3.526914,58,41,9,2.95,58,40,9,3.21,57,9,2.96,56,8,2.76,55,8,3.35,53,8,3.6,49,6,4
Qatar,MENA,Middle East and North Africa,58,40,6,5.082982,63,31,7,5.010074,63,30,7,5.34654,62,30,7,7.997069,62,33,7,8.08,63,29,7,7.5,61,7,7.02,71,6,6.63,69,6,7.21,68,6,7.2,68,6,6.4
Czechia,WE/EU,European Union,56,41,10,1.084798,54,49,10,1.283622,54,49,10,1.098983,56,44,10,1.868036,59,38,10,2.28,57,42,10,1.98,55,9,2.24,56,9,2.21,51,9,2.94,48,10,3,49,10,2.9
Georgia,ECA,Europe and Central Asia,56,41,6,3.026622,55,45,6,2.843186,56,45,5,3.149734,56,44,5,3.835593,58,41,6,3.92,56,46,6,3.1,57,6,3.61,52,5,6.53,52,6,6.47,49,6,6.9,52,6,6
Italy,WE/EU,European Union,56,41,8,1.706507,56,42,8,1.461298,53,52,8,2.107895,53,51,8,3.215638,52,53,8,3.29,50,54,8,3.72,47,7,3.34,44,7,2.5,43,7,2.26,43,7,2.5,42,7,2.4
